Tamanho,AlgBubbleSort,AlgInsertionSort,AlgSelectionSort,AlgMergeSort,AlgQuickSort,AlgBuscaSequencial,AlgBuscaBinaria
5000,0.022033933,0.007002400,0.009925433,0.000483733,0.000321433,0.000002933,0.000000233
6000,0.032045833,0.010093167,0.014238500,0.000601033,0.000392000,0.000003367,0.000000433
7000,0.045131633,0.014492467,0.019923533,0.000742733,0.000495267,0.000004200,0.000000400
8000,0.059733633,0.018770767,0.025892033,0.000845300,0.000557800,0.000004800,0.000000400
9000,0.076842200,0.023655633,0.032774800,0.000996867,0.000646033,0.000005000,0.000000367
10000,0.092981533,0.027995067,0.038696067,0.001087633,0.000695100,0.000005267,0.000000467
11000,0.118202700,0.035000700,0.047757933,0.001212033,0.000786633,0.000006800,0.000000400
12000,0.148230300,0.042048733,0.058153200,0.001371233,0.000877333,0.000006600,0.000000433
13000,0.171865867,0.046858867,0.065259033,0.001398500,0.000903800,0.000007367,0.000000300
14000,0.216437900,0.057194900,0.078390400,0.001597367,0.001012733,0.000007733,0.000000633
15000,0.255909533,0.066243833,0.089978367,0.001739367,0.001090967,0.000008267,0.000000333
16000,0.291843300,0.071483067,0.097409900,0.001720633,0.001120033,0.000007733,0.000000433
17000,0.347510567,0.080873967,0.109530433,0.001894167,0.001203400,0.000009667,0.000000400
18000,0.407586467,0.091146633,0.122606633,0.002017000,0.001261000,0.000009867,0.000000400
19000,0.472814267,0.103069800,0.137835467,0.002140233,0.001350167,0.000009700,0.000000400
20000,0.547707667,0.117598367,0.156603567,0.002298033,0.001460500,0.000010767,0.000000433
